original_split,data
train,/imgs/bj/t1/L81_00831_784039.jpg /imgs/bj/t3/L81_00831_784039.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00831_784039.png /building_labels/bj/t1/L81_00831_784039.png /building_labels/bj/t3/L81_00831_784039.png /offset_st_resize256/bj/t1/L81_00831_784039.tif /offset_st_resize256/bj/t3/L81_00831_784039.tif /flow_btv3_resize256/bj/t1VSt3/L81_00831_784039.tif
train,/imgs/bj/t1/L81_00687_784111.jpg /imgs/bj/t2/L81_00687_784111.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00687_784111.png /building_labels/bj/t1/L81_00687_784111.png /building_labels/bj/t2/L81_00687_784111.png /offset_st_resize256/bj/t1/L81_00687_784111.tif /offset_st_resize256/bj/t2/L81_00687_784111.tif /flow_btv3_resize256/bj/t1VSt2/L81_00687_784111.tif
train,/imgs/bj/t1/L81_00823_784199.jpg /imgs/bj/t2/L81_00823_784199.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00823_784199.png /building_labels/bj/t1/L81_00823_784199.png /building_labels/bj/t2/L81_00823_784199.png /offset_st_resize256/bj/t1/L81_00823_784199.tif /offset_st_resize256/bj/t2/L81_00823_784199.tif /flow_btv3_resize256/bj/t1VSt2/L81_00823_784199.tif
train,/imgs/bj/t2/L81_00879_784143.jpg /imgs/bj/t3/L81_00879_784143.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00879_784143.png /building_labels/bj/t2/L81_00879_784143.png /building_labels/bj/t3/L81_00879_784143.png /offset_st_resize256/bj/t2/L81_00879_784143.tif /offset_st_resize256/bj/t3/L81_00879_784143.tif /flow_btv3_resize256/bj/t2VSt3/L81_00879_784143.tif
train,/imgs/sh/t1/L81_892863_780519.jpg /imgs/sh/t3/L81_892863_780519.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892863_780519.png /building_labels/sh/t1/L81_892863_780519.png /building_labels/sh/t3/L81_892863_780519.png /offset_st_resize256/sh/t1/L81_892863_780519.tif /offset_st_resize256/sh/t3/L81_892863_780519.tif /flow_btv3_resize256/sh/t1VSt3/L81_892863_780519.tif
train,/imgs/bj/t1/L81_00871_784167.jpg /imgs/bj/t3/L81_00871_784167.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00871_784167.png /building_labels/bj/t1/L81_00871_784167.png /building_labels/bj/t3/L81_00871_784167.png /offset_st_resize256/bj/t1/L81_00871_784167.tif /offset_st_resize256/bj/t3/L81_00871_784167.tif /flow_btv3_resize256/bj/t1VSt3/L81_00871_784167.tif
train,/imgs/sh/t2/L81_892879_780463.jpg /imgs/sh/t3/L81_892879_780463.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892879_780463.png /building_labels/sh/t2/L81_892879_780463.png /building_labels/sh/t3/L81_892879_780463.png /offset_st_resize256/sh/t2/L81_892879_780463.tif /offset_st_resize256/sh/t3/L81_892879_780463.tif /flow_btv3_resize256/sh/t2VSt3/L81_892879_780463.tif
train,/imgs/bj/t2/L81_00823_784287.jpg /imgs/bj/t3/L81_00823_784287.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00823_784287.png /building_labels/bj/t2/L81_00823_784287.png /building_labels/bj/t3/L81_00823_784287.png /offset_st_resize256/bj/t2/L81_00823_784287.tif /offset_st_resize256/bj/t3/L81_00823_784287.tif /flow_btv3_resize256/bj/t2VSt3/L81_00823_784287.tif
val,/imgs/sh/t2/L81_892847_780503.jpg /imgs/sh/t3/L81_892847_780503.jpg /labels/sh/t2VSt3/L81_892847_780503.png /building_labels/sh/t2/L81_892847_780503.png /building_labels/sh/t3/L81_892847_780503.png /offset_st_resize256/sh/t2/L81_892847_780503.tif /offset_st_resize256/sh/t3/L81_892847_780503.tif /flow_btv3_resize256/sh/t2VSt3/L81_892847_780503.tif
train,/imgs/bj/t2/L81_00975_784295.jpg /imgs/bj/t3/L81_00975_784295.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00975_784295.png /building_labels/bj/t2/L81_00975_784295.png /building_labels/bj/t3/L81_00975_784295.png /offset_st_resize256/bj/t2/L81_00975_784295.tif /offset_st_resize256/bj/t3/L81_00975_784295.tif /flow_btv3_resize256/bj/t2VSt3/L81_00975_784295.tif
train,/imgs/sh/t1/L81_892903_780423.jpg /imgs/sh/t3/L81_892903_780423.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892903_780423.png /building_labels/sh/t1/L81_892903_780423.png /building_labels/sh/t3/L81_892903_780423.png /offset_st_resize256/sh/t1/L81_892903_780423.tif /offset_st_resize256/sh/t3/L81_892903_780423.tif /flow_btv3_resize256/sh/t1VSt3/L81_892903_780423.tif
train,/imgs/sh/t2/L81_892839_780479.jpg /imgs/sh/t3/L81_892839_780479.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892839_780479.png /building_labels/sh/t2/L81_892839_780479.png /building_labels/sh/t3/L81_892839_780479.png /offset_st_resize256/sh/t2/L81_892839_780479.tif /offset_st_resize256/sh/t3/L81_892839_780479.tif /flow_btv3_resize256/sh/t2VSt3/L81_892839_780479.tif
train,/imgs/sh/t2/L81_892823_780455.jpg /imgs/sh/t3/L81_892823_780455.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892823_780455.png /building_labels/sh/t2/L81_892823_780455.png /building_labels/sh/t3/L81_892823_780455.png /offset_st_resize256/sh/t2/L81_892823_780455.tif /offset_st_resize256/sh/t3/L81_892823_780455.tif /flow_btv3_resize256/sh/t2VSt3/L81_892823_780455.tif
train,/imgs/sh/t2/L81_892903_780471.jpg /imgs/sh/t3/L81_892903_780471.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892903_780471.png /building_labels/sh/t2/L81_892903_780471.png /building_labels/sh/t3/L81_892903_780471.png /offset_st_resize256/sh/t2/L81_892903_780471.tif /offset_st_resize256/sh/t3/L81_892903_780471.tif /flow_btv3_resize256/sh/t2VSt3/L81_892903_780471.tif
train,/imgs/sh/t1/L81_892863_780487.jpg /imgs/sh/t3/L81_892863_780487.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892863_780487.png /building_labels/sh/t1/L81_892863_780487.png /building_labels/sh/t3/L81_892863_780487.png /offset_st_resize256/sh/t1/L81_892863_780487.tif /offset_st_resize256/sh/t3/L81_892863_780487.tif /flow_btv3_resize256/sh/t1VSt3/L81_892863_780487.tif
train,/imgs/bj/t1/L81_00655_784175.jpg /imgs/bj/t3/L81_00655_784175.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00655_784175.png /building_labels/bj/t1/L81_00655_784175.png /building_labels/bj/t3/L81_00655_784175.png /offset_st_resize256/bj/t1/L81_00655_784175.tif /offset_st_resize256/bj/t3/L81_00655_784175.tif /flow_btv3_resize256/bj/t1VSt3/L81_00655_784175.tif
train,/imgs/bj/t2/L81_00639_784255.jpg /imgs/bj/t3/L81_00639_784255.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00639_784255.png /building_labels/bj/t2/L81_00639_784255.png /building_labels/bj/t3/L81_00639_784255.png /offset_st_resize256/bj/t2/L81_00639_784255.tif /offset_st_resize256/bj/t3/L81_00639_784255.tif /flow_btv3_resize256/bj/t2VSt3/L81_00639_784255.tif
train,/imgs/bj/t1/L81_00679_784231.jpg /imgs/bj/t2/L81_00679_784231.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00679_784231.png /building_labels/bj/t1/L81_00679_784231.png /building_labels/bj/t2/L81_00679_784231.png /offset_st_resize256/bj/t1/L81_00679_784231.tif /offset_st_resize256/bj/t2/L81_00679_784231.tif /flow_btv3_resize256/bj/t1VSt2/L81_00679_784231.tif
train,/imgs/sh/t1/L81_892783_780439.jpg /imgs/sh/t3/L81_892783_780439.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892783_780439.png /building_labels/sh/t1/L81_892783_780439.png /building_labels/sh/t3/L81_892783_780439.png /offset_st_resize256/sh/t1/L81_892783_780439.tif /offset_st_resize256/sh/t3/L81_892783_780439.tif /flow_btv3_resize256/sh/t1VSt3/L81_892783_780439.tif
train,/imgs/bj/t1/L81_00687_783967.jpg /imgs/bj/t3/L81_00687_783967.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00687_783967.png /building_labels/bj/t1/L81_00687_783967.png /building_labels/bj/t3/L81_00687_783967.png /offset_st_resize256/bj/t1/L81_00687_783967.tif /offset_st_resize256/bj/t3/L81_00687_783967.tif /flow_btv3_resize256/bj/t1VSt3/L81_00687_783967.tif
train,/imgs/bj/t1/L81_00671_784239.jpg /imgs/bj/t2/L81_00671_784239.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00671_784239.png /building_labels/bj/t1/L81_00671_784239.png /building_labels/bj/t2/L81_00671_784239.png /offset_st_resize256/bj/t1/L81_00671_784239.tif /offset_st_resize256/bj/t2/L81_00671_784239.tif /flow_btv3_resize256/bj/t1VSt2/L81_00671_784239.tif
train,/imgs/sh/t1/L81_892823_780511.jpg /imgs/sh/t3/L81_892823_780511.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892823_780511.png /building_labels/sh/t1/L81_892823_780511.png /building_labels/sh/t3/L81_892823_780511.png /offset_st_resize256/sh/t1/L81_892823_780511.tif /offset_st_resize256/sh/t3/L81_892823_780511.tif /flow_btv3_resize256/sh/t1VSt3/L81_892823_780511.tif
train,/imgs/bj/t1/L81_00679_784295.jpg /imgs/bj/t3/L81_00679_784295.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00679_784295.png /building_labels/bj/t1/L81_00679_784295.png /building_labels/bj/t3/L81_00679_784295.png /offset_st_resize256/bj/t1/L81_00679_784295.tif /offset_st_resize256/bj/t3/L81_00679_784295.tif /flow_btv3_resize256/bj/t1VSt3/L81_00679_784295.tif
train,/imgs/sh/t1/L81_892863_780503.jpg /imgs/sh/t2/L81_892863_780503.jpg /labels_unch0ch1ig255/sh/t1VSt2/L81_892863_780503.png /building_labels/sh/t1/L81_892863_780503.png /building_labels/sh/t2/L81_892863_780503.png /offset_st_resize256/sh/t1/L81_892863_780503.tif /offset_st_resize256/sh/t2/L81_892863_780503.tif /flow_btv3_resize256/sh/t1VSt2/L81_892863_780503.tif
train,/imgs/bj/t2/L81_00647_784207.jpg /imgs/bj/t3/L81_00647_784207.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00647_784207.png /building_labels/bj/t2/L81_00647_784207.png /building_labels/bj/t3/L81_00647_784207.png /offset_st_resize256/bj/t2/L81_00647_784207.tif /offset_st_resize256/bj/t3/L81_00647_784207.tif /flow_btv3_resize256/bj/t2VSt3/L81_00647_784207.tif
train,/imgs/sh/t1/L81_892799_780495.jpg /imgs/sh/t2/L81_892799_780495.jpg /labels_unch0ch1ig255/sh/t1VSt2/L81_892799_780495.png /building_labels/sh/t1/L81_892799_780495.png /building_labels/sh/t2/L81_892799_780495.png /offset_st_resize256/sh/t1/L81_892799_780495.tif /offset_st_resize256/sh/t2/L81_892799_780495.tif /flow_btv3_resize256/sh/t1VSt2/L81_892799_780495.tif
train,/imgs/bj/t1/L81_00847_784255.jpg /imgs/bj/t2/L81_00847_784255.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00847_784255.png /building_labels/bj/t1/L81_00847_784255.png /building_labels/bj/t2/L81_00847_784255.png /offset_st_resize256/bj/t1/L81_00847_784255.tif /offset_st_resize256/bj/t2/L81_00847_784255.tif /flow_btv3_resize256/bj/t1VSt2/L81_00847_784255.tif
train,/imgs/sh/t1/L81_892919_780471.jpg /imgs/sh/t2/L81_892919_780471.jpg /labels_unch0ch1ig255/sh/t1VSt2/L81_892919_780471.png /building_labels/sh/t1/L81_892919_780471.png /building_labels/sh/t2/L81_892919_780471.png /offset_st_resize256/sh/t1/L81_892919_780471.tif /offset_st_resize256/sh/t2/L81_892919_780471.tif /flow_btv3_resize256/sh/t1VSt2/L81_892919_780471.tif
train,/imgs/bj/t1/L81_01111_784471.jpg /imgs/bj/t2/L81_01111_784471.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_01111_784471.png /building_labels/bj/t1/L81_01111_784471.png /building_labels/bj/t2/L81_01111_784471.png /offset_st_resize256/bj/t1/L81_01111_784471.tif /offset_st_resize256/bj/t2/L81_01111_784471.tif /flow_btv3_resize256/bj/t1VSt2/L81_01111_784471.tif
train,/imgs/sh/t1/L81_892919_780511.jpg /imgs/sh/t2/L81_892919_780511.jpg /labels_unch0ch1ig255/sh/t1VSt2/L81_892919_780511.png /building_labels/sh/t1/L81_892919_780511.png /building_labels/sh/t2/L81_892919_780511.png /offset_st_resize256/sh/t1/L81_892919_780511.tif /offset_st_resize256/sh/t2/L81_892919_780511.tif /flow_btv3_resize256/sh/t1VSt2/L81_892919_780511.tif
train,/imgs/sh/t1/L81_892823_780503.jpg /imgs/sh/t3/L81_892823_780503.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892823_780503.png /building_labels/sh/t1/L81_892823_780503.png /building_labels/sh/t3/L81_892823_780503.png /offset_st_resize256/sh/t1/L81_892823_780503.tif /offset_st_resize256/sh/t3/L81_892823_780503.tif /flow_btv3_resize256/sh/t1VSt3/L81_892823_780503.tif
train,/imgs/sh/t1/L81_892799_780527.jpg /imgs/sh/t3/L81_892799_780527.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892799_780527.png /building_labels/sh/t1/L81_892799_780527.png /building_labels/sh/t3/L81_892799_780527.png /offset_st_resize256/sh/t1/L81_892799_780527.tif /offset_st_resize256/sh/t3/L81_892799_780527.tif /flow_btv3_resize256/sh/t1VSt3/L81_892799_780527.tif
val,/imgs/bj/t2/L81_00647_783975.jpg /imgs/bj/t3/L81_00647_783975.jpg /labels/bj/t2VSt3/L81_00647_783975.png /building_labels/bj/t2/L81_00647_783975.png /building_labels/bj/t3/L81_00647_783975.png /offset_st_resize256/bj/t2/L81_00647_783975.tif /offset_st_resize256/bj/t3/L81_00647_783975.tif /flow_btv3_resize256/bj/t2VSt3/L81_00647_783975.tif
train,/imgs/bj/t2/L81_00663_783983.jpg /imgs/bj/t3/L81_00663_783983.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00663_783983.png /building_labels/bj/t2/L81_00663_783983.png /building_labels/bj/t3/L81_00663_783983.png /offset_st_resize256/bj/t2/L81_00663_783983.tif /offset_st_resize256/bj/t3/L81_00663_783983.tif /flow_btv3_resize256/bj/t2VSt3/L81_00663_783983.tif
train,/imgs/sh/t2/L81_892783_780471.jpg /imgs/sh/t3/L81_892783_780471.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892783_780471.png /building_labels/sh/t2/L81_892783_780471.png /building_labels/sh/t3/L81_892783_780471.png /offset_st_resize256/sh/t2/L81_892783_780471.tif /offset_st_resize256/sh/t3/L81_892783_780471.tif /flow_btv3_resize256/sh/t2VSt3/L81_892783_780471.tif
train,/imgs/sh/t2/L81_892863_780495.jpg /imgs/sh/t3/L81_892863_780495.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892863_780495.png /building_labels/sh/t2/L81_892863_780495.png /building_labels/sh/t3/L81_892863_780495.png /offset_st_resize256/sh/t2/L81_892863_780495.tif /offset_st_resize256/sh/t3/L81_892863_780495.tif /flow_btv3_resize256/sh/t2VSt3/L81_892863_780495.tif
train,/imgs/sh/t2/L81_892919_780479.jpg /imgs/sh/t3/L81_892919_780479.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892919_780479.png /building_labels/sh/t2/L81_892919_780479.png /building_labels/sh/t3/L81_892919_780479.png /offset_st_resize256/sh/t2/L81_892919_780479.tif /offset_st_resize256/sh/t3/L81_892919_780479.tif /flow_btv3_resize256/sh/t2VSt3/L81_892919_780479.tif
train,/imgs/bj/t2/L81_00647_784103.jpg /imgs/bj/t3/L81_00647_784103.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00647_784103.png /building_labels/bj/t2/L81_00647_784103.png /building_labels/bj/t3/L81_00647_784103.png /offset_st_resize256/bj/t2/L81_00647_784103.tif /offset_st_resize256/bj/t3/L81_00647_784103.tif /flow_btv3_resize256/bj/t2VSt3/L81_00647_784103.tif
val,/imgs/bj/t1/L81_00831_784303.jpg /imgs/bj/t2/L81_00831_784303.jpg /labels/bj/t1VSt2/L81_00831_784303.png /building_labels/bj/t1/L81_00831_784303.png /building_labels/bj/t2/L81_00831_784303.png /offset_st_resize256/bj/t1/L81_00831_784303.tif /offset_st_resize256/bj/t2/L81_00831_784303.tif /flow_btv3_resize256/bj/t1VSt2/L81_00831_784303.tif
train,/imgs/sh/t1/L81_892895_780503.jpg /imgs/sh/t2/L81_892895_780503.jpg /labels_unch0ch1ig255/sh/t1VSt2/L81_892895_780503.png /building_labels/sh/t1/L81_892895_780503.png /building_labels/sh/t2/L81_892895_780503.png /offset_st_resize256/sh/t1/L81_892895_780503.tif /offset_st_resize256/sh/t2/L81_892895_780503.tif /flow_btv3_resize256/sh/t1VSt2/L81_892895_780503.tif
train,/imgs/bj/t1/L81_00903_784263.jpg /imgs/bj/t3/L81_00903_784263.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00903_784263.png /building_labels/bj/t1/L81_00903_784263.png /building_labels/bj/t3/L81_00903_784263.png /offset_st_resize256/bj/t1/L81_00903_784263.tif /offset_st_resize256/bj/t3/L81_00903_784263.tif /flow_btv3_resize256/bj/t1VSt3/L81_00903_784263.tif
train,/imgs/bj/t1/L81_00687_784047.jpg /imgs/bj/t2/L81_00687_784047.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00687_784047.png /building_labels/bj/t1/L81_00687_784047.png /building_labels/bj/t2/L81_00687_784047.png /offset_st_resize256/bj/t1/L81_00687_784047.tif /offset_st_resize256/bj/t2/L81_00687_784047.tif /flow_btv3_resize256/bj/t1VSt2/L81_00687_784047.tif
test,/imgs/bj/t1/L81_00967_784279.jpg /imgs/bj/t3/L81_00967_784279.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00967_784279.png /building_labels/bj/t1/L81_00967_784279.png /building_labels/bj/t3/L81_00967_784279.png
test,/imgs/bj/t1/L81_00863_784063.jpg /imgs/bj/t2/L81_00863_784063.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00863_784063.png /building_labels/bj/t1/L81_00863_784063.png /building_labels/bj/t2/L81_00863_784063.png
train,/imgs/sh/t2/L81_892839_780463.jpg /imgs/sh/t3/L81_892839_780463.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892839_780463.png /building_labels/sh/t2/L81_892839_780463.png /building_labels/sh/t3/L81_892839_780463.png /offset_st_resize256/sh/t2/L81_892839_780463.tif /offset_st_resize256/sh/t3/L81_892839_780463.tif /flow_btv3_resize256/sh/t2VSt3/L81_892839_780463.tif
train,/imgs/bj/t2/L81_00823_784159.jpg /imgs/bj/t3/L81_00823_784159.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00823_784159.png /building_labels/bj/t2/L81_00823_784159.png /building_labels/bj/t3/L81_00823_784159.png /offset_st_resize256/bj/t2/L81_00823_784159.tif /offset_st_resize256/bj/t3/L81_00823_784159.tif /flow_btv3_resize256/bj/t2VSt3/L81_00823_784159.tif
train,/imgs/bj/t1/L81_00863_783967.jpg /imgs/bj/t2/L81_00863_783967.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00863_783967.png /building_labels/bj/t1/L81_00863_783967.png /building_labels/bj/t2/L81_00863_783967.png /offset_st_resize256/bj/t1/L81_00863_783967.tif /offset_st_resize256/bj/t2/L81_00863_783967.tif /flow_btv3_resize256/bj/t1VSt2/L81_00863_783967.tif
train,/imgs/bj/t1/L81_00639_784175.jpg /imgs/bj/t3/L81_00639_784175.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00639_784175.png /building_labels/bj/t1/L81_00639_784175.png /building_labels/bj/t3/L81_00639_784175.png /offset_st_resize256/bj/t1/L81_00639_784175.tif /offset_st_resize256/bj/t3/L81_00639_784175.tif /flow_btv3_resize256/bj/t1VSt3/L81_00639_784175.tif
val,/imgs/bj/t1/L81_00647_784287.jpg /imgs/bj/t2/L81_00647_784287.jpg /labels/bj/t1VSt2/L81_00647_784287.png /building_labels/bj/t1/L81_00647_784287.png /building_labels/bj/t2/L81_00647_784287.png /offset_st_resize256/bj/t1/L81_00647_784287.tif /offset_st_resize256/bj/t2/L81_00647_784287.tif /flow_btv3_resize256/bj/t1VSt2/L81_00647_784287.tif
train,/imgs/bj/t2/L81_00831_784247.jpg /imgs/bj/t3/L81_00831_784247.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00831_784247.png /building_labels/bj/t2/L81_00831_784247.png /building_labels/bj/t3/L81_00831_784247.png /offset_st_resize256/bj/t2/L81_00831_784247.tif /offset_st_resize256/bj/t3/L81_00831_784247.tif /flow_btv3_resize256/bj/t2VSt3/L81_00831_784247.tif
train,/imgs/bj/t1/L81_00679_784295.jpg /imgs/bj/t2/L81_00679_784295.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00679_784295.png /building_labels/bj/t1/L81_00679_784295.png /building_labels/bj/t2/L81_00679_784295.png /offset_st_resize256/bj/t1/L81_00679_784295.tif /offset_st_resize256/bj/t2/L81_00679_784295.tif /flow_btv3_resize256/bj/t1VSt2/L81_00679_784295.tif
train,/imgs/bj/t2/L81_00831_784223.jpg /imgs/bj/t3/L81_00831_784223.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00831_784223.png /building_labels/bj/t2/L81_00831_784223.png /building_labels/bj/t3/L81_00831_784223.png /offset_st_resize256/bj/t2/L81_00831_784223.tif /offset_st_resize256/bj/t3/L81_00831_784223.tif /flow_btv3_resize256/bj/t2VSt3/L81_00831_784223.tif
train,/imgs/sh/t1/L81_892903_780423.jpg /imgs/sh/t2/L81_892903_780423.jpg /labels_unch0ch1ig255/sh/t1VSt2/L81_892903_780423.png /building_labels/sh/t1/L81_892903_780423.png /building_labels/sh/t2/L81_892903_780423.png /offset_st_resize256/sh/t1/L81_892903_780423.tif /offset_st_resize256/sh/t2/L81_892903_780423.tif /flow_btv3_resize256/sh/t1VSt2/L81_892903_780423.tif
train,/imgs/sh/t2/L81_892887_780511.jpg /imgs/sh/t3/L81_892887_780511.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892887_780511.png /building_labels/sh/t2/L81_892887_780511.png /building_labels/sh/t3/L81_892887_780511.png /offset_st_resize256/sh/t2/L81_892887_780511.tif /offset_st_resize256/sh/t3/L81_892887_780511.tif /flow_btv3_resize256/sh/t2VSt3/L81_892887_780511.tif
train,/imgs/sh/t2/L81_892887_780447.jpg /imgs/sh/t3/L81_892887_780447.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892887_780447.png /building_labels/sh/t2/L81_892887_780447.png /building_labels/sh/t3/L81_892887_780447.png /offset_st_resize256/sh/t2/L81_892887_780447.tif /offset_st_resize256/sh/t3/L81_892887_780447.tif /flow_btv3_resize256/sh/t2VSt3/L81_892887_780447.tif
train,/imgs/bj/t2/L81_00671_783983.jpg /imgs/bj/t3/L81_00671_783983.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00671_783983.png /building_labels/bj/t2/L81_00671_783983.png /building_labels/bj/t3/L81_00671_783983.png /offset_st_resize256/bj/t2/L81_00671_783983.tif /offset_st_resize256/bj/t3/L81_00671_783983.tif /flow_btv3_resize256/bj/t2VSt3/L81_00671_783983.tif
val,/imgs/sh/t2/L81_892919_780503.jpg /imgs/sh/t3/L81_892919_780503.jpg /labels/sh/t2VSt3/L81_892919_780503.png /building_labels/sh/t2/L81_892919_780503.png /building_labels/sh/t3/L81_892919_780503.png /offset_st_resize256/sh/t2/L81_892919_780503.tif /offset_st_resize256/sh/t3/L81_892919_780503.tif /flow_btv3_resize256/sh/t2VSt3/L81_892919_780503.tif
train,/imgs/bj/t1/L81_00647_784215.jpg /imgs/bj/t3/L81_00647_784215.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00647_784215.png /building_labels/bj/t1/L81_00647_784215.png /building_labels/bj/t3/L81_00647_784215.png /offset_st_resize256/bj/t1/L81_00647_784215.tif /offset_st_resize256/bj/t3/L81_00647_784215.tif /flow_btv3_resize256/bj/t1VSt3/L81_00647_784215.tif
train,/imgs/bj/t1/L81_00679_784103.jpg /imgs/bj/t2/L81_00679_784103.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00679_784103.png /building_labels/bj/t1/L81_00679_784103.png /building_labels/bj/t2/L81_00679_784103.png /offset_st_resize256/bj/t1/L81_00679_784103.tif /offset_st_resize256/bj/t2/L81_00679_784103.tif /flow_btv3_resize256/bj/t1VSt2/L81_00679_784103.tif
train,/imgs/bj/t2/L81_00839_784031.jpg /imgs/bj/t3/L81_00839_784031.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00839_784031.png /building_labels/bj/t2/L81_00839_784031.png /building_labels/bj/t3/L81_00839_784031.png /offset_st_resize256/bj/t2/L81_00839_784031.tif /offset_st_resize256/bj/t3/L81_00839_784031.tif /flow_btv3_resize256/bj/t2VSt3/L81_00839_784031.tif
test,/imgs/bj/t1/L81_00679_784119.jpg /imgs/bj/t3/L81_00679_784119.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00679_784119.png /building_labels/bj/t1/L81_00679_784119.png /building_labels/bj/t3/L81_00679_784119.png
train,/imgs/bj/t1/L81_00831_784231.jpg /imgs/bj/t3/L81_00831_784231.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00831_784231.png /building_labels/bj/t1/L81_00831_784231.png /building_labels/bj/t3/L81_00831_784231.png /offset_st_resize256/bj/t1/L81_00831_784231.tif /offset_st_resize256/bj/t3/L81_00831_784231.tif /flow_btv3_resize256/bj/t1VSt3/L81_00831_784231.tif
train,/imgs/bj/t1/L81_00935_783983.jpg /imgs/bj/t2/L81_00935_783983.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00935_783983.png /building_labels/bj/t1/L81_00935_783983.png /building_labels/bj/t2/L81_00935_783983.png /offset_st_resize256/bj/t1/L81_00935_783983.tif /offset_st_resize256/bj/t2/L81_00935_783983.tif /flow_btv3_resize256/bj/t1VSt2/L81_00935_783983.tif
train,/imgs/sh/t1/L81_892847_780511.jpg /imgs/sh/t2/L81_892847_780511.jpg /labels_unch0ch1ig255/sh/t1VSt2/L81_892847_780511.png /building_labels/sh/t1/L81_892847_780511.png /building_labels/sh/t2/L81_892847_780511.png /offset_st_resize256/sh/t1/L81_892847_780511.tif /offset_st_resize256/sh/t2/L81_892847_780511.tif /flow_btv3_resize256/sh/t1VSt2/L81_892847_780511.tif
train,/imgs/bj/t1/L81_00863_784167.jpg /imgs/bj/t3/L81_00863_784167.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00863_784167.png /building_labels/bj/t1/L81_00863_784167.png /building_labels/bj/t3/L81_00863_784167.png /offset_st_resize256/bj/t1/L81_00863_784167.tif /offset_st_resize256/bj/t3/L81_00863_784167.tif /flow_btv3_resize256/bj/t1VSt3/L81_00863_784167.tif
train,/imgs/bj/t1/L81_00647_784191.jpg /imgs/bj/t2/L81_00647_784191.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00647_784191.png /building_labels/bj/t1/L81_00647_784191.png /building_labels/bj/t2/L81_00647_784191.png /offset_st_resize256/bj/t1/L81_00647_784191.tif /offset_st_resize256/bj/t2/L81_00647_784191.tif /flow_btv3_resize256/bj/t1VSt2/L81_00647_784191.tif
